NAME ,Date,Active?,URL,History Note ,Address ,Phone,Fax ,Email ,Other notes 
Aremorica Records ,Mar-24,Celtic music,https://www.allcelticmusic.com/labels/Aremorica%20Records.html,,,,,,
Arhoolie. ,Mar-24,still active despite much of the catalog going to Smithsonian Folkways ,https://arhoolie.org/,"An American roots music label with Tex-Mex, Cajun and Zydeco. Address:  10341 San Pablo Ave, El Cerrito, CA 94530. Phone: +1-510-525-7471, Fax: +1-510-525-1204.",,,,,
Arion Disques. ,Mar-24,,https://arion-music.com/en/,,Address: 3 RUE MORICE 92110 CLICHY France. ,"Phone: +1-44-1- 45 63 76 70, Fax: +1-44-1- 45 63 79 54.",,,
Art Hurts Records ,Mar-24,I do not see anything since 2017,http://www.arthurtsrecords.com/,"is a new label dedicated to Ghanaian highlife. Address: 3658 Louisiana St. San Diego, CA 92104, USA. Phone: +1-619 252 9700, Fax:+1-619 294 9491. E-mail: beston_music@hotmail.com",,,,,
Ayuí Tacuabé.,Mar-24,,https://www.google.com/search?client=firefox-b-1-e&q=Ayu%C3%AD+Tacuab%C3%A9.,"Uruguayan roots music and pop, including candombe. Address: Plaza Independencia 838, esc. 6, 11100 Montevideo, Uruguay. Phone: +1-598.2 9025552, Fax: +1-598.2 9080671. E-mail: ayui@nagmedia.com.uy ",,,,,
Aztarna,Mar-24,were they sold to Naxos? I do not see anything ,,"is an independent label specialized in innovative artists from the Basque Country. Address: Lastaola Poligonoa 94, 20120 Hernani - Guipúzcoa, Spain. Phone & Fax: +34.943.3313039. E-mail:aztarna@aztarna.com  ",,,,,
Aztec Music ,Mar-24,not sure that this still exists,,,,,,,
Azul Music,Mar-24,not sure this is the same label,https://www.azulmusic.com.br/,"is a Brazilian label that specializes in new age combined with world music. I see a label that has: classical, crossover, Brazilian, rock",,,,,
Ba Music Records ,Mar-24,this is a channel on Sound Cloud,https://soundcloud.com/banksaffiliation,,,,,,
Batish Records. ,Mar-24,contact info is same,http://batish.com/catalog/,"Indian classical and fusion. Address: 1310 Mission St., Santa Cruz, CA 95060, USA. Phone: +1-(831) 423-1699,  Fax: +1-(408) 423-5172. E-mail: batish@cruzio.com",,,,,
Bear Family Records   ,Mar-24,,https://www.bear-family.de/,"Founded in 1975, Bear Family Records specializes in country and bluegrass, as well as boxed set reissues of a variety of genres.  ",,,,,
Bembé Records.,Mar-24,part of HumboldtMusic,https://www.humboldtmusic.com/listings/Bembe_Records.htm,"Cuban music. Address: PO Box 1730, Redway, CA 95560, USA. Phone: +1-(707) 923 7262, Fax: +1-(707) 923 7262. E-mail: bembe@bembe.com",,,,,
Big World Music. ,Mar-24,perhaps just downloads or streaming now,,"azz, Brazilian and Uruguayan music, including modern candombe: Toninho Horta, Hugo Fattoruso, Rubén Rada, The Tango Kings. Address: PO Box 128, Brooklyn, NY 11225, USA. Phone: +1-718.531.1730. E-mail: bigworld@interport.net ",,,,,
Biswas Records,Mar-24,,https://biswas.com/,"specializes in Bengali music and Classical Indian music. Address: 1 Rexburge Court, Newark, DE 19711, USA. Phone:+ 1 302 453 9021, Fax: + 1 302 453 9021. E-mail: trust@biswas.com ",,,,,
Blue Flame ,Mar-24,,https://www.blueflame.com/,"German label with recordings by Yulduz Usmanova, Ali Hassan Kuban, Dangaa, Dido and much more. Address: Blue Flame Records, Parlerstrasse 6, 70192 Stuttgart, Germany. Phone: +49-711-256-7671, Fax: +49-711-256-7674. ",,,,,
Blue Jackel Entertainment,Mar-24,not really a website,https://www.bluejackel.com/,"as released boxed sets of Cuban and Brazilian music. The label produces Cuban, Brazilian, Puerto Rican and jazz music. It also releases Dissidenten's recordings in North America. Some of the artists on the label are: Marlui Miranda, Tony Martínez, Gilberto Gil and María Ochoa. Address: Blue Jackel Entertainment, P.O. Box 87, Huntington, NY 11743-0087, USA. Phone: +1-631-423-7879. E-mail: info@bluejackel.com",,,,,
Boa Music. ,Mar-24,,https://boa.es/,"Specialized in Galician Celtic music. Address: Hierro 9, 28045 Madrid, Spain. Phone: +34 902 15 13 80, Fax: +34 91 528 67 54, +34 91 506 3220. E-mail: sergio@boa-music.com",,,,,
Boheme Music ,Mar-24,catalog link = 404,https://bohememusic.narod.ru/eng/about.htm,"Russian company Boheme Music is one of the major producers of music recordings on the former USSR territory. The company releases mostly CDs recorded in its own studio. At the same time it explores Russian state phono archives and private collections. Boheme Music also puts together research expeditions to gather the invaluable experience and musical traditions of different peoples and nationalities living in various parts of Russia. Address: Boheme Music, Suite 5, 17B Mosfilmovskaya St., Moscow, 117330 Russia, Phone:+7-095-973 7101, Fax: +7-095-973 7102, E-mail: bmr@boheme.ru ",,,,,https://bohememusic.narod.ru/rus/default.htm
Buda Musique   ,Mar-24,,https://www.budamusique.com/,"Founded in 1986, Buda specializes in folk, traditional and urban music.  ",,,,,
"CAAMA (Central Australian Aboriginal Media Association) Music,",Mar-24,no recent updates but its there,https://www.caama.com.au/,is the only Aboriginal - owned and operated record label in Australia.  E-mail: productions@caama.com.au ,,,,,
Caliente Entertainment.,Mar-24,not found,,"t. A New York-based label representing Cuban music, Latin rock, hip hop, pop and salsa. Los Van Van, Barbarito Torres, Luisa, La Revolución, etc. Address: 117 E. 57th Street, New York, NY 10022. Phone: +1-212-588-1208, Fax: +1-212-588-1209. E-mail: Calientemu@aol.com",,,,,
Canyon Records  Productions ,Mar-24,,https://canyonrecords.com/,"Founded in 1951, Canyon Records produces Native American flute music, pow-wow, Native American Church music, round dance, traditional Native American music from many American Indian and Canadian Indian nations and fusions of Native American music with genres like folk, jazz, country and most recently, classical music.  ",,,,,"Native American music since 1951. Canyon Records is the world's leading record label specializing in Native American music. Best known for the recordings of popular Navajo-Ute flutist R. Carlos Nakai, the Canyon Records catalog includes more than 450 traditional and contemporary recordings by the native peoples of the United States, western Canada and northwest Mexico. Address: Canyon Records, 4143 N. 16th St., Suite 6, Phoenix, AZ 85016, USA. Phone: +1-602-279-5941. Fax: +1-602-279-9233. Catalogs and information: canyon@canyonrecords.com. "
Canzona Vagabonda ,Mar-24,looks like is absorbed by streaming platforms,,,,,,,
Caprice Records,Mar-24,,https://musikverket.se/capricerecords/?lang=en,"Swedish folk and world music label. Address: Box 1225, 11182 Stockholm, Sweden. Phone: +46 8 791 4600, Fax: +46 8 10 9992. ",,,,,
Casa Verde ,Mar-24,last release in 2017; streaming now,https://casaverderecords.com/,,,,,,
Cemre Muzik Ltd. ,Mar-24,not found,,"Turkish traditional and contemporary folk music. Address: I.M.C 6 blok, No. 6401, 34470 Istanbul, Turkey. Phone: +90  ",,,,,
Center Records ,Mar-24,nothing since 2020?,https://www.facebook.com/centerrecords/,"features recordings by Lakota (American Indian) elder and spiritual leader Joseph Flying Bye7809 Southtown Center #382 Minneapolis, Minnesota 55431, USA. E-mail: mailbox@centerrecords.com",,,,,
City of Tribes,Mar-24,nothing since 2000,,"San Francisco's eclectic label dedicated to world music, ethno-ambient, 4th world,  Celtic, trip-hop and folk. Ali Khan. Address: City of Tribes, 3025 17th Street, San Francisco, CA 94110, USA. Phone: +1-415- 621-1549, Fax: +1-415-621-3924. ",,,,,
Claddagh Records.,Mar-24,cds & vinyl,https://claddaghrecords.com/collections/live-stock,"Irish music. Address: Dame House, Dame St., Dublin 2, Ireland. Phone: +353-1-778943, Fax: +353-1-6793664.  ",,,,,
Cló Iar Chonnachta,Mar-24,looks like a bookstore w/ music section,https://cic.ie/product-category/music/?lang=en,"Irish traditional music. Address: Indrea Ban, Conmara, Co. na Gaillimhe. Ireland. Phone: +353-91-93307,  Fax: +353-91-93362. E-mail: cic@iol.ie. ",,,,,
CNI (Compagnia Nuove Indye),Mar-24,not found,,"Italy's leading world music label. The label's roster includes artists like Agricantus and Lucilla Galeazzi. Address: Compagnia Nuove Indye, Via Luigi Luciani 7, 00197 Roma, Italy, E-mail: international@cnimusic.it ",,,,,
Cobalt ,Mar-24,not found,,French world music label focusing on West African music. E-mail: africolor@aol.com ,,,,,
Comet Records ,Mar-24,,https://cometrec.fr/,reissuing West African recordings on vinyl ,"Adress: 2 Rue André Messager, 75018 Paris",,,Email: info(at)cometrec.fr,
Compass Records   ,Mar-24,,https://compassrecords.com/,"Founded in 1994, Compass Records specializes in roots music.  ",,,,,"Nashville's eclectic music label, featuring bluegrass, world music, Celtic and jazz.  Alison Brown, Victor Wooten, Kate Rusby, Darol Anger, Samba Ngo and many more."
Crammed Discs,Mar-24,up to date!,http://www.crammed.be/,"This Belgian label has a world music arm called Crammed World. Address: 43 rue General Patton, 1050 Brussels, Belgium. Phone:+32 2 640 7914,  Fax: 32 2 648 8369. ",,,,,
Culburnie Records,Mar-24,,https://culburnie.com/,"An artist run label focused on Scottish music, Alasdair Fraser, Christine Kydd, Skyedance, Abby Newton, Bachué. Address: P.O. Box 219, Nevada City, CA 95959, USA. Phone: toll free US & Canada: +1 800/830-6296; or +1 530/292-4219. Fax: +1 530/292-4352. E-mail: usinfo@culburnie.com",,,,,
"Cutting Records, Inc. ",,,,"is a New York-based label that initially focused on dance music and hip hop. Now it has a Latin music division dedicated to innovative salsa, merengue and bachata, including artists like Fulanito and Inocentes. Address: 481 8th Avenue, Suite 1518, New York, NY 10001, USA. Phone: +1-212- 868-3154, Fax: +1-212- 868-1061",,,,,
Dadgad Records ,,,,,,,,,
Dancing Cat Records -,,,,The label specialized in the fingerstyle solo guitar tradition from the Hawaiian Islands known as ki ho'alu or slack key guitar.,,,,,
Demi Lune ,,,,, –Danses du Monde ,,,,
Diapasón,,,," is an Argentine label that focuses on Argentine music, mainly tango and folk. E-mail: diapason@impsat1.com.ar  ",,,,,
Different Lands Records ,,,,"is an independent record label whose aims are the exploration of new musical worlds and to extend the musical idioms of world beat, jazz and new instrumental music. Italy. E-mail: f.armani@agora.it  (Fabio Armani) ",,,,,
"Discmedi, S.A. ",,,,"produces a wide range of music styles: Catalan and Majorcan folk from Spain, Celtic music from Galicia (Spain) and also Cuban music. : Cardener, 32 - 34, 08024-Barcelona, Spain. Phone: +34- 93 284 95 16 - Fax: +34-93 219 85 10. E-mail: info@discmedi.com",,,,,
Documentary Educational Resources ,Mar-24,,https://www.der.org/,"Founded in 1968, Documentary Educational Resources (DER) is a nonprofit whose mission is to foster cross-cultural understanding through the distribution and promotion of quality educational ethnographic, documentary, and non-fiction films and videos from around the world.  ",,,,,
Documentary Educational Resources  ,,,,"Founded in 1968, Documentary Educational Resources (DER) is a nonprofit whose mission is to foster cross-cultural understanding through the distribution and promotion of quality educational ethnographic, documentary, and non-fiction films and videos from around the world. ",,,,,
Dust-to-Digital   ,Mar-24,,https://dust-digital.com/,"Founded by Lance Ledbetter in 1999, Dust-to-Digital is the producer and curator of a wide variety of projects, which combine rare, essential recordings with historical images and descriptive texts to create high-quality, cultural artifacts.  ",,,,,
Ediciones Resistencia. ,,,,"Label focused on world music, Celtic and new folk from various parts of Spain: Galicia, Asturias, Cantabria, Basque country, Castile.  Address: Ediciones Resistencia, San Isidro Labrador 19, 28005 Madrid, Spain. Phone: 34-91-366-6723, Fax: 34-91-364-2110. E-mail: resistencia@edires.com",,,,,
En Chordais ,,,,,,,,,
Enja Records ,,,,,,,,,
Exil Musik,,,,"- The home of Dissidenten, the European pioneers of world beat. Address: Exil Musik, Innere Bahnhofstrasse 1, D-91593 Burgenheim, Germany. Phone: +49-9843-95959, Fax: +49-9843-95900. E-mail: dissidenten@exil.de",,,,,
Face Music   ,Mar-24,,http://www.face-music.ch/,"Founded in 1987, specializes in world and roots music, esp. music of Central Asia.  ",,,,,
Fania Records i,,,,"s one of the leading salsa labels, mainly focused on Puerto Rican artists based in the island and in the United States. Address: 112 W. 31st St., 4th Floor, New York, NY 10001, USA. Phone: +1-212-967-3114, Fax: +1-212-465-1828. E-mail: keyprd@compuserve.com",,,,,
Favorite Recordings ,,,,,,,,,
Fifty-Fifty ,Mar-24,,http://www.fiftyrecords.com/,(Finnish) ,,,,,
Fonográfica del Sur.,,,,"Flamenco and Andalusian popular music label. Address: Rubén Darío 29, 41710 Utrera, Sevilla, Spain. Fax: +34-5-486 08 79",,,,,
Fonomusic.,,,,"Large Spanish independent label. They catalog includes Flamenco, Spanish Gypsy music and Galician music. Address: García de Paredes, 12-1o, 28010 Madrid, Spain. Phone:+34-91-446 77 48, Fax: +34-91-593 02 39. E-mail: fonomusic@fonomusic.es ",,,,,
Fonti Musicali i,,,,"is a Belgian label with albums by Guinean artist Mamady Keita. Address: Rue Jean d'Ardennestraat 33, 1050 Brussels, Belgium. Phone: +32-2-511-6772, Fax: +32-2-511-4186. E-mail: fonti.musicali@skynet.be",,,,,
Gallo,,,,The South African roots music label.,,,,,
Golden Horn Productions ,,,,is a Contemporary and Traditional World Music and Jazz label established in 1995 and based in California. It focuses mainly on Turkish music.Golden Horn Productions ,,,,,
Green Linnet   ,Mar-24,sold to DMG in 2006; acquired by Compass??,https://en.wikipedia.org/wiki/Green_Linnet_Records,"Founded in 1976, Green Linnet specializes in Celtic music.  ",,,,,
Green Linnet/ Xenophile,,,,Green Linnet is the leading Celtic music label in North America. Xenophile is the home for the non-Celtic world music.,,,,,
Hannibal Records-,,,,Rykodisc's world music imprint. Hannibal was formed in 1980 by  producer Joe Boyd.,,,,,
Hemisphere Records ,,,,The home for EMI's world music releases,,,,,
Hexagon Records ,,,,"is an eclectic label with music that ranges from Fela Kuti to Vampire Nation. Address: Hexagon Records, PO Box 42303, Pittsburgh, PA 15203, USA. E-mail: info@hexagonrecords.com ",,,,,
Hirustica  ,,,,,,,,,
Hot Casa Records ,,,,,,,,,
IEMPSA S.A.,,,,"Large Peruvian independent label with all kinds of product, including Afro-Peruvian and Peruvian folk music. Address: Jr. Torres Paz #1101, Lima 01, Peru. Phone: +51 1 470-1410, Fax: +51 1 470-3860. E-mail: producciones@iempsa.co ",,,,,
IglooMondo ,,,,,,,,,
Il Pontesonoro. ,,,,"Italian folk and world music label. Address: Via Pereira 66, 00136 Roma, Italy. Phone: +39-6-3549 1998, Fax: +39-6-3534 6137. E-mail: ",,,,,
Iliode ,,,,,,,,,
"Imagina Productions, ",,,," is a small independent record label committed to supporting quality music from different traditions, cultures, and regions of the world, particularly Russia and Central Asia. The focus is on music and artists with regional cultural influences - including folk, traditional, religious, classical and popular styles to each area of the world. Address: 2545 Warren Avenue N., Seattle, WA 98109-1836, U.S.A. Phone: +1-206-284-838,  Fax: + 1-206-284-9426. E-mail: imagina@msn.com ",,,,,
Indian House   ,Mar-24,,http://www.indianhouse.com/,"Founded in 1966 in Taos, New Mexico, Indian House specializes in recordings of traditional and powwow Native American Indian music.  ",,,,,
Indies Records,,,," is a Czech label that produces a wide range of music, from rock to world music. Address: nám. 28, rˇíjna 9, 602 00 Brno, Czech Republic. Phone: + 420-5 / 45 21 20 34, Fax: +420-5 / 45 21 22 09. E-mail: indies@indiesrec.cz",,,,,
INEDIT / Maison des Cultures du Monde (World Cultures Institute)  ,,,,"Maison des Cultures du Monde was created in 1982 to protect and encourage awareness of cultural diversity; to research and program intangible cultural heritage performing art forms; and to document and record rare and endangered music. The INEDIT series, founded in 1985, is a means for ethnomusicologists to publish field recordings and an active memorial dedicated to the preservation of endangered forms of the world musical heritage. ",,,,,
INEDIT / Maison des Cultures du Monde (World Cultures Institute)   ,Mar-24,,https://boutiqueenligne.maisondesculturesdumonde.org/en/,"Maison des Cultures du Monde was created in 1982 to protect and encourage awareness of cultural diversity; to research and program intangible cultural heritage performing art forms; and to document and record rare and endangered music. The INEDIT series, founded in 1985, is a means for ethnomusicologists to publish field recordings and an active memorial dedicated to the preservation of endangered forms of the world musical heritage.  ",,,,,
INEDIT. ,,,,"A French label dedicated to traditional world music. It has over 100 references from all over the world. Maison des Cultures du Monde was created in 1982 to protect and encourage awareness of cultural diversity; to research and program intangible cultural heritage performing art forms; and to document and record rare and endangered music. The INEDIT series, founded in 1985, is a means for ethnomusicologists to publish field recordings and an active memorial dedicated to the preservation of endangered forms of the world musical heritage.",,,,,
Innacor  ,,,,,,,,,
Innacor  ,,,,,,,,,
Institut du Monde Arabe ,,,,,,,,,
Intuition Music. ,,,," A German label focused on jazz, world music and other sounds. Farafina, Cosmic Voices of Bulgaria, Lázaro Ros and much more. Address: Intuition Music, PO Box 27 01 26, 50508 Cologne, Germany. Phone: +49-221-9514140, Fax: +49-221-9514149. E-mail: webmaster@intuition-music.com",,,,,
Inukshuk Productions.,,,,"The leading Inuit label in North America. Traditional Drum Dance & Song, Ay-yas, Throat singing (chanting) to modern styles in Country, Folk, Rock, Pop, Fiddling & Accordion jigging...",,,,,
Island Records. ,,,,"The former indie is now part of major label. African and Caribbean music. Baaba Maal, Thomas Mapfumo.  Address: 400 Lafayette Street, New York, NY 10003, USA.  ",,,,,
Jericho Beach Music ,,,,"An eclectic label based in Western Canada -Artists: Compadres, James Keelaghan, Khac Chi Ensemble and Silk Road Music. Address: 1351 Grant St., Vancouver, BC V5L 1X7, Canada. Phone: +1-604.253.2662. E-mail: fdi@festival.bc.ca",,,,,
Juna Music.,,,," A label with African music, R&B and high quality compilations and theme albums of world music. Artists: Les Go, Too BAD. Address: Juna Music, 7257 Beverly Blvd Suite 220, Los Angeles CA 90036, USA. Phone: +1 323 932 6990. E-mail: info@junaworld.com",,,,,
Kaira Records. ,,,,"A new US label with a kora album by Kane Mathis, accompanied by Gambian musicians. ",,,,,
Kalan Music Inc.,,,,"A Turkish label with one of the most impressive catalogs of Turkish traditional and contemporary world music. Address: IMC 6.blok No:6608, Unkapani-Istanbul, Turkey. Phone: Kalan: 0 212 512 35 13 - Fax: 0 212 528 11 34 E-mail: support@kalan.com  ",,,,,
Keda Records.,,,,"Banghra label. Address: The Sight and Sound Centre, Priory Way, Southall, Middlesex UB2 5EB, Great Britain. Phone: +44 181 843 1546, Fax: +44 181 574 4243. E-mail: kuljit@compuserve.com ",,,,,
Kila Records ,,,,,,,,,
King Records.,,,,"Large Japanese independent label with many different music styles. they have a great collection of Japanese folk and traditional world music. Address: King Records, 1-2-3, Otowa, Bunkyo-Ku, Tokyo 112, Japan. Phone: +81-3-3945-2134,  Fax: +81-3-3945-4806. ",,,,,
Kirkelig Kulturverksted   ,Mar-24,,https://www.kkv.no/en/,"Label from Norway, with Palestinian, Persian releases  ",,,,,
Kiss Records,,,,"is a British based bhangra label that deals with distribution, artist management and promotion. Address: PO Box 13, Oldham. OL8 1BJ - England, United Kingdom. Phone: +44 (0)7973 225795, Fax: +44(0)161 624 2128 / +44(0)161 330 6789. E-mail: info@kissrecords.com ",,,,,
L’alba ,,,,,,,,,
Laika Records,,,,"A German label with world music, Celtic, folk and jazz. Deborah Henson-Conant, Mara, Kolsimcha, etc. ",,,,,
Les Productions Mille-Pattes,,,,"is a Canadian label specialized in traditional and contemporary world music from Québec. Recordingartists include La Bottine Souriante and Michel Faubert Address: 503, rue Archambault, Joliette,Québe,  J6E 2W6, Canada.  Phone: +1-450-752-2598, Fax: +1-450-752-0644. E-mail: mp@millepattes.com.",,,,,
Luaka Bop Records,,,,"The label started by David Byrne. World music and pop from different parts of the globe. Susana Baca, Bloque, Zap Mama, David Byrne and much more. Address: 50 West 12th St., New York, NY 10011, USA.",,,,,
Lusafrica  ,,,,,,,,,
Lyrichord Records ,,,,"see also ER notes with much more detail)  Founded in 1950, Lyrichord was one of the oldest independent labels featuring traditional world music recordings. Lyrichord, in association with Multicultural Media, has released the Lyrichord Archive Series, which makes many past Lyrichord recordings available for the first time in years. ",,,,,
Lyrichord Records   ,Mar-24,acquired by Multimedia Records in 2015,https://www.worldmusicstore.com/collections/lyrichord-archive-cds,"Founded in 1950, Lyrichord was one of the oldest independent labels featuring traditional world music recordings. Lyrichord, in association with Multicultural Media, has released the Lyrichord Archive Series, which makes many past Lyrichord recordings available for the first time in years.  ",,,,,
Ma Recordings,,,,"has world music and contemporary music. Japan: 1-12-6 Iidabashi, Chiyoda, Tokio, Japan 102-0072. tel: 81-3-5276-6803 1-12-6 Iidabashi, Chiyoda, Tokio, fax: 81-3-5276-5960 USA: 4728 Park Encino Ln. #117, Encino, CA. 91436 USA. Phone: +1-818-907-9996, Fax: +1-818-783-4938 E-mail: fax: 81-3-5276-5960 USA: 4728 Park Encino Ln. #117, Encino, CA. 91436 USA. Phone: +1-818-907-9996, Fax: +1-818-783-4938 E-mail:  tgmarec@attglobal.net  tgmarec@attglobal.net  Japan 102-0072. tel: 81-3-5276-6803 ",,,,,
Maeve Production ,,,,,,,,,
Magda -,,,,"ne of Israel's finest world music labels. Its roster includes the Andalusian Orchestra of Israel, Yair Dalal, East West Ensemble, Eyal Sella, Essev Bar and Aura. Address: 21 Sheinkin St., Tel Aviv 65232, Israel. Phone: +972-3-528 6106, Fax: +972-3-528 3413. E-mail: contact@magda.co.il",,,,,
Mahoor Institute of Culture and Art   ,Mar-24,404: website in Arabic ,https://www.mahoor.com/fa/default.aspx,"Founded in 1998, Mhumhi Records is a not-for-profit record label that is dedicated to preserving and sharing the music of Zimbabwe and Mozambique.  ",,,,,
Makoché ,,,,"s a young American Indian (Native American) music company based in North Dakota. The name Makoché (ma.ko.chay) comes from the Lakota word for the earth; maka. The word makoché refers to the land, all that is in it and the interdependency among all living things. ",,,,,
MB Records ,,,,"is an independent record label specialized in the recording of music from Cape Verde, Angola and Guinea Bissau. Artists include Bana, Tito Paris, Mendes Brothers, Kafala Brothers and Agusto Cego (""Blind Agusto""). Address: MB Records, 84 Foster Street,Brockton, MA 02301, USA. Phone: +1 508 587 3439, Fax: +1 508 587 3439. E-mail: mbrecords2000@yahoo.com  ",,,,,
MELT 2000,,,,"based in England and focuses on the African and percussive side of world music. Address:  6c Littlehampton Road, Worthing, West Sussex, BN13 1QE, England. Phone: +44 (0) 1903 260033, Fax: +44 (0) 1903 261133. E-mail: rtrunz@melt2000.com ",,,,,
Moment Records,,,,"Zakir Hussain's label. It features many recordings by Hussain himself and also by other top Indian musicians like Ustad Alla Rakha, Pandit V.G. Jog, Ustad Amjad Ali Khan, and many others. Address: Moment Records, 237 Crescent Road, San Anselmo, CA 94960, USA. Phone: +1 415 459-6994, Fax: 415.459.7742. E-Mail: Moment237@AOL.com  ",,,,,
Moment! Records   ,Mar-24,,,"Founded in 1991, by Zakir Hussein, Moment! Records specializes in the classical music of India and contemporary world music.  ",,,,,
Mountain Records ,,,,"specializes in South African Cape Jazz, but it also has a lot of the Amampondo back catalog. Address: PO Box 70, Observatory, 7935, Cape, South Africa. Fax: +27 21 4471359",,,,,
Mulligan Records   ,Mar-24,acquired by Compass in 2008,,"Founded in 1975, Mulligan Records specializes in traditional Irish music.  ",,,,,
Multicultural Media,,,,"releases traditional world music recordings with well researched in depth liner notes. Address: 56 Browns Mill Road, Montpelier, VT 05602, USA. Phone: +1-802-223-1294, Fax: +1 802-229-1834.E-Mail: stephen@multiculturalmedia.com ",,,,,
